Service: hwrt, mapping: strict-0
Found 341 / 351 classes
Macro-scores: 291 classes with samples number >= 10
Recall scores:

| Class               |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \shortrightarrow    |        28 |  21.4 % |  46.4 % |  82.1 % |  82.1 % |  85.7 % |
| \Bowtie             |        27 |  77.8 % |  88.9 % |  88.9 % |  88.9 % |  88.9 % |
| \rtimes             |        27 |  88.9 % |  92.6 % |  92.6 % |  92.6 % |  92.6 % |
| \star               |        27 |  25.9 % |  44.4 % |  48.1 % |  51.9 % |  55.6 % |
| \dag                |        26 |  84.6 % |  88.5 % |  88.5 % |  88.5 % |  88.5 % |
| \kappa              |        26 |  84.6 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| ]                   |        26 |  88.5 % |  96.2 % | 100.0 % | 100.0 % | 100.0 % |
| \Longleftrightarrow |        25 |  16.0 % |  56.0 % |  60.0 % |  60.0 % |  60.0 % |
| \copyright          |        25 |  84.0 % |  88.0 % |  92.0 % |  96.0 % |  96.0 % |
| \diamond            |        25 |  44.0 % |  60.0 % |  72.0 % |  72.0 % |  76.0 % |
| \lhd                |        25 |  80.0 % |  88.0 % |  96.0 % |  96.0 % |  96.0 % |
| \longrightarrow     |        25 |  24.0 % |  56.0 % |  84.0 % |  96.0 % | 100.0 % |
| \mathcal{H}         |        25 |  88.0 % |  88.0 % |  88.0 % |  88.0 % |  88.0 % |
| \ss                 |        25 |  36.0 % |  88.0 % |  92.0 % |  92.0 % |  92.0 % |
| \O                  |        24 |  12.5 % |  25.0 % |  33.3 % |  70.8 % |  83.3 % |
| \aa                 |        24 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \angle              |        24 |  87.5 % |  95.8 % |  95.8 % |  95.8 % |  95.8 % |
| \bowtie             |        24 |  20.8 % |  79.2 % |  87.5 % |  87.5 % |  87.5 % |
| \iddots             |        24 |  87.5 % |  91.7 % |  91.7 % |  91.7 % |  91.7 % |
