Service: detexify
Number of symbols: 900
Accuracies:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \EUR                      |        23 |   4.3 % |  21.7 % |  34.8 % |  69.6 % |  82.6 % |
| \nrightarrow              |        23 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \texttwosuperior          |        23 |  69.6 % |  87.0 % |  95.7 % |  95.7 % |  95.7 % |
| \boxtimes                 |        23 |  65.2 % |  73.9 % |  82.6 % |  87.0 % |  91.3 % |
| \bigcirc                  |        23 |  30.4 % |  39.1 % |  43.5 % |  56.5 % |  56.5 % |
| \textvisiblespace         |        22 |  95.5 % |  95.5 % |  95.5 % |  95.5 % | 100.0 % |
| \Uppsi                    |        22 |  18.2 % |  45.5 % |  63.6 % |  77.3 % |  77.3 % |
| \oiint                    |        22 |  72.7 % |  95.5 % |  95.5 % |  95.5 % | 100.0 % |
| \skull                    |        22 |  18.2 % |  27.3 % |  31.8 % |  31.8 % |  36.4 % |
| \fint                     |        22 |  31.8 % |  68.2 % |  77.3 % |  81.8 % |  86.4 % |
| \Upsigma                  |        22 |  22.7 % |  31.8 % |  40.9 % |  45.5 % |  59.1 % |
| \textestimated            |        22 |  50.0 % |  77.3 % |  95.5 % |  95.5 % |  95.5 % |
| \Ankh                     |        22 |  31.8 % |  40.9 % |  45.5 % |  45.5 % |  50.0 % |
| \varpi                    |        22 |  86.4 % |  90.9 % |  95.5 % |  95.5 % |  95.5 % |
| \texttildelow             |        22 |  22.7 % |  40.9 % |  54.5 % |  77.3 % | 100.0 % |
| \rtimes                   |        22 |  77.3 % |  81.8 % |  95.5 % |  95.5 % |  95.5 % |
| \backslash                |        22 |  27.3 % |  45.5 % |  72.7 % |  86.4 % |  90.9 % |
| \bigwedge                 |        22 |  27.3 % |  36.4 % |  68.2 % |  81.8 % |  81.8 % |
| \triangledown             |        22 |  13.6 % |  50.0 % |  77.3 % |  81.8 % |  86.4 % |
| \ltimes                   |        22 |  77.3 % |  77.3 % |  86.4 % | 100.0 % | 100.0 % |
| \preceq                   |        21 |  85.7 % |  90.5 % |  95.2 % |  95.2 % |  95.2 % |
| \uplambda                 |        21 |   4.8 % |  23.8 % |  57.1 % |  61.9 % |  76.2 % |
| \bullet                   |        21 |   4.8 % |   4.8 % |   4.8 % |  14.3 % |  14.3 % |
| \upbeta                   |        21 |  23.8 % |  61.9 % |  90.5 % |  95.2 % |  95.2 % |
| \mathscr{F}               |        21 |  47.6 % |  66.7 % |  81.0 % |  81.0 % |  85.7 % |
| \with                     |        21 |  61.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upsigma                  |        21 |  47.6 % |  71.4 % |  90.5 % |  95.2 % |  95.2 % |
